02-Mar-2018 11:02:52

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 0 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.58 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.108091     73.855013      12.189617       85.627599      3.729166      12.662345      13.004424     -0.016336     -0.452275    -0.385196  
  0.108579     73.602498      12.181496       94.469455     -0.273948      8.186700      15.162293      0.074719     -0.520307    -0.129223  
  0.108990     73.570937      12.174588       103.263898     -7.331716      8.603653      17.160550      0.341363     -0.548684    -0.089997  
  0.109392     73.697191      12.172098       112.295397     -16.239078      1.830411      11.826346      0.498686     -0.495104    -0.208661  
  0.109795     73.791885      12.165312       121.469108     -16.632471     -3.275545      11.238768      0.646781     -0.554193    -0.387537  
  0.110195     73.570937      12.156234       130.571718     -18.205026     -2.113741      10.172500      0.910315     -0.530877    -0.271982  
  0.110597     72.718704      12.143894       139.508391     -12.014386     -9.807405      10.078082      1.015228     -0.596647    -0.125950  
  0.110996     72.939652      12.135917       148.255430     -4.122428     -14.129078      15.651130      1.082323     -0.595480    -0.156305  
  0.111397     72.560883      12.138160       156.433556      5.030315     -15.362080      5.675721      1.078618     -0.710551    -0.299149  
  0.111799     72.939652      12.141167       166.768798      2.745934     -14.738412      10.859977      1.003386     -0.598810    -0.291795  
  0.112199     72.939652      12.145102       175.966216      4.545046     -4.525700      5.507021      1.057436     -0.596248    -0.287640  
  0.112610     72.844958      12.147956       185.021413      1.762660     -3.121066      13.018383      0.888907     -0.482958    -0.157088  
  0.113001     73.286855      12.156930       194.408483     -1.827775     -2.431732      10.305837      0.756422     -0.387410    -0.244351  
  0.113391     73.349983      12.152403       203.202926      1.239169     -6.139586      23.064322      0.612831     -0.270016    -0.330521  
  0.113781     73.507804      12.159449       212.210710     -0.967261     -0.077832      17.622723      0.535387     -0.235160    -0.302390  
  0.114172     73.381549      12.167185       221.076272      1.833429     -1.431447      17.957787      0.403678     -0.217575    -0.091948  
  0.114562     73.286855      12.180509       229.325501      7.991311     -3.202510      17.190854      0.228430     -0.347177    -0.229065  
  0.114953     73.349983      12.172065       239.447420      13.395985      8.188904      17.940519      0.277060     -0.431720    -0.286981  
  0.115345     73.381549      12.180282       247.957402      16.059296      6.082022      12.674166      0.145928     -0.587905    -0.360020  
  0.115733     73.413116      12.185877       256.751845      12.357817      11.436171      12.082309      0.109325     -0.594591    -0.179198  
  0.116125     73.349983      12.123509       265.830748      5.516032      12.592815      14.604585      0.208043     -0.545432    -0.158008  
  0.116514     73.507804      12.194808       274.625191     -2.782473      10.823731      10.401051      0.338876     -0.581479    -0.317271  
  0.116906     73.823446      12.204955       283.111485     -7.308219      7.346822      15.508080      0.509884     -0.614705    -0.365082  
  0.117297     73.728752      12.206486       291.408126     -17.486347      2.157520      13.740033      0.610902     -0.530793    -0.171447  
  0.117689     73.570937      12.203374       301.530027     -19.338468      0.473740      9.151663      0.837389     -0.557464    -0.120513  
  0.118082     73.444676      12.201929       310.537829     -18.548302     -2.432802      10.825981      1.049235     -0.571017    -0.260050  
  0.118473     73.286855      12.200123       319.758953     -12.208082     -14.875582      9.409437      1.033547     -0.615874    -0.314552  
  0.118865     71.929598      12.179357       328.577103     -3.586555     -13.885481      15.360080      1.113660     -0.578142    -0.217840  
  0.119256     72.687137      12.275247       337.584868     -1.149497     -14.788238      8.370131      1.100983     -0.587861    -0.125410  
  0.119646     72.876525      12.175819       346.734909      1.543125     -8.639823      11.727678      1.065819     -0.500381    -0.189617  
  0.120037     72.939652      12.169997       355.244874      8.044793     -6.436798      12.181814      0.900961     -0.548137    -0.382087  
  0.120428     72.908086      12.161781       4.438998      4.558846     -7.790773      10.238823      0.670050     -0.464068    -0.282190  
  0.120826     73.223728      12.161453       13.423080     -0.186045      0.399808      10.997210      0.656218     -0.306688    -0.169805  
  0.121207     73.476243      12.144655       22.691619     -2.019646     -1.259467      16.273713      0.445826     -0.163171    -0.237122  
  0.121588     73.760319      12.151830       31.580881     -2.329166     -3.339454      17.077100      0.194136     -0.124686    -0.312840  
  0.121969     73.507804      12.150266       39.901231      1.263895     -1.695860      19.281455      0.075573     -0.117178    -0.327546  
  0.122350     73.570937      12.140480       49.311999      11.386168      4.007883      16.683954      0.027452     -0.276552    -0.230749  
  0.122730     73.444676      12.137730       58.841291      11.710049      10.459555      16.954649     -0.020152     -0.319323    -0.155972  
  0.123158     73.413116      12.134743       67.991305      13.865529      10.163927      10.642669     -0.161942     -0.444840    -0.150246  
  0.123562     73.823446      12.140726       76.738339      10.761539      9.643961      15.258623     -0.148324     -0.450969    -0.402761  
  0.123945     73.791885      12.124586       85.651305      4.574845      12.660425      13.221724     -0.000743     -0.462816    -0.330893  
  0.124326     74.044394      12.148497       94.611685      0.600073      9.124013      15.779279      0.118913     -0.513224    -0.133694  
  0.124707     72.592443      12.125398       102.955739     -7.269095      6.374183      16.765538      0.307614     -0.541687    -0.146682  
  0.125093     73.697191      12.145858       112.508738     -16.533362      0.438675      10.654788      0.474892     -0.494729    -0.231006  
  0.125472     73.728752      12.144904       121.303180     -17.164160      0.593972      11.393221      0.726498     -0.541684    -0.395931  
  0.125852     73.444676      12.152171       130.595425     -19.087262     -2.403726      10.740639      0.938884     -0.514137    -0.253893  
  0.126233     72.624010      12.149367       139.769145     -12.299263     -11.811676      10.123870      0.981299     -0.593053    -0.160669  
  0.126613     72.908086      12.164400       148.871746     -3.941156     -14.227122      15.830629      1.068427     -0.606900    -0.224118  
  0.126995     72.687137      12.173653       157.950649      5.171726     -15.254373      5.258829      1.106257     -0.721545    -0.274409  
  0.127376     73.381549      12.084354       166.342117      2.588011     -12.974101      11.492681      1.013639     -0.594099    -0.178935  
  0.127756     73.192161      12.197732       175.918821      3.538592     -5.560320      5.424170      0.994539     -0.578024    -0.266222  
  0.128141     73.160601      12.209124       185.116239      2.003808     -4.366274      12.983335      0.855733     -0.495865    -0.285085  
  0.128525     73.381549      12.224704       194.384777     -1.721805      0.909868      10.606625      0.785720     -0.412423    -0.291343  
  0.128907     73.223728      12.230715       203.463680      0.915621     -6.196983      23.106888      0.580136     -0.276270    -0.193150  
  0.129286     73.413116      12.247216       212.518877     -1.928381     -1.966507      18.153955      0.477756     -0.228113    -0.246154  
  0.129665     73.381549      12.258565       221.313320      1.643751     -0.036292      17.637592      0.408078     -0.231536    -0.242786  
  0.130045     73.318422      12.261739       230.415930      8.188773     -2.846399      18.287020      0.232375     -0.368192    -0.320969  
  0.130424     73.318422      12.428316       239.044427      12.893963      7.769148      17.434297      0.237794     -0.444955    -0.140844  
  0.130805     73.223728      12.284027       248.004815      16.175573      5.988340      12.547246      0.110845     -0.598797    -0.238625  
  0.131185     73.318422      12.282523       256.254044      12.344709      12.539595      11.649755      0.113265     -0.618443    -0.295023  
  0.131566     73.697191      12.295971       264.550703      5.713733      12.735471      14.701888      0.201354     -0.565848    -0.277054  
